,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qm huile (kg/s),0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conductivité thermique (W/m/K),,,,,,,,,,,,,,,,,,,,,,,,,,,,Calcul efficacité NUT,,,
eau,0.628,,,,,,,,,V (L),t (s),Qm (kg/s),Tentrée eau (°C),Tsortie eau (°C),Tentrée huile (°C),Tsortie huile (°C),DT eau (°C),DT huile (°C),P eau,P huile,(Qm*DT)eau,(Qm*DT)huile,E,DTLM,Alpa g (W/°C),Alpa g calc(W/°C),,R,NUT,E,erreur relative
huile,0.144,,"Qm = 0,01 kg/s",,,,,,,1.4,141,0.009929078,19.8475315152,59.5533830303,95.4182084848,67.6992051515,39.7058515152,-27.7190033333,1647.1451537761,1038.6546719881,0.3942424973,0.5543800667,0.5254134687,41.5706148547,39.6228239475,53.8711698521,,0.9032671365,1.0574305577,0.5268297104,0.27%
,,,waveform,[0],[1],[2],[3],,,1.4,86,0.0162790698,20.8583116,46.293933,82.206241,35.880923,25.4356214,-46.325318,1729.9771708475,1735.8491354619,0.4140682553,0.92650636,0.7551243938,23.9691695718,72.1750983348,62.7015638257,,0.5509288917,1.9261664587,0.7538045718,0.18%
Ceau (J/kg/K),,,t0,00:00.0,00:00.0,00:00.0,00:00.0,,,1.4,59,0.0237288136,20.6892926471,37.7118941176,78.7826538235,32.8362920588,17.0226014706,-45.9463617647,1687.603398674,1721.6493224479,0.4039261366,0.9189272353,0.7909055499,23.742753242,71.078673205,70.3050058925,,0.3779628443,1.8969057114,0.7837321577,0.92%
eau,4178,,delta t,2,2,2,2,,,1.4,48,0.0291666667,20.5133169697,35.0993633333,77.7241569697,30.1461512121,14.5860463636,-47.5780057576,1777.4312997955,1782.7884130507,0.4254263523,0.9515601152,0.8316257156,22.1830685273,80.1255830595,74.8151650525,,0.3074951954,2.1383443062,0.8306431119,0.12%
huile,1873.5426008969,,,,,,,,,1.4,33,0.0424242424,20.8132518421,31.3109239474,75.0460313158,27.4209157895,10.4976721053,-47.6251155263,1860.6964750941,1784.5536562238,0.4453557863,0.9525023105,0.8781610677,19.6449713847,94.716171312,83.6757493979,,0.2114029468,2.5277293206,0.8893779583,1.26%
,,,time,Y[0],Y[1],Y[2],Y[3],,,1.4,27,0.0518518519,21.928858,29.4682588,74.893228,30.0852744,7.5394008,-44.8079536,1633.3134503467,1678.9921985722,0.3909318933,0.896159072,0.8460018235,21.7023731104,75.2596705457,88.795445846,,0.1729660474,2.0084857027,0.8375835824,1.01%
,,,00:00.0,19.8,59.6,95.6,68,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:02.0,19.8,59.3,95.5,67.9,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:04.0,19.8,59.1,95.5,67.8,,,,,,,,,,,,,,,,,,alpha 0,835.2611218796,,,,,
,,,00:06.0,19.8,59.6,95.5,67.8,,,,,,,,,,,,,,,,,,k,3.1658574817,,,,,
